airport	LAS	airport	DFW	domestic
airport	MKE	airport	DFW	domestic
airport	SAN	airport	JFK	domestic
airport	SNA	airport	DFW	domestic
airport	SEA	airport	JFK	domestic
airport	PHX	airport	DSM	domestic
airport	SFO	airport	MIA	domestic
airport	ABQ	airport	DFW	domestic
airport	RDU	airport	MIA	domestic
airport	PHX	airport	LAS	domestic
airport	PIT	airport	PHL	domestic
airport	CLT	airport	MDT	domestic
airport	RDU	airport	ORD	domestic
airport	BNA	airport	DFW	domestic
airport	SJC	airport	ORD	domestic
airport	BOS	airport	LGA	domestic
airport	CLT	airport	STL	domestic
airport	CLT	airport	SFO	domestic
airport	DFW	airport	DTW	domestic
airport	DEN	airport	ORD	domestic
airport	DFW	airport	MKE	domestic
airport	JFK	airport	PHX	domestic
airport	FLL	airport	ORD	domestic
airport	MEM	airport	PHX	domestic
airport	LAX	airport	RDU	domestic
airport	MSP	airport	PHX	domestic
airport	ORD	airport	SJC	domestic
airport	PHX	airport	SJC	domestic
airport	PHX	airport	TPA	domestic
airport	HND	airport	ASJ	domestic
airport	AKJ	airport	HND	domestic
airport	MEL	airport	HTI	domestic
airport	HTI	airport	CNS	domestic
airport	SXM	airport	CLT	domestic
airport	HND	airport	UBJ	domestic
airport	NGO	airport	NRT	domestic
airport	VAA	airport	HEL	domestic
airport	ADL	airport	PER	domestic
airport	RVN	airport	HEL	domestic
airport	NCL	airport	LHR	domestic
airport	CLT	airport	ALB	domestic
airport	DFW	airport	BNA	domestic
airport	MIA	airport	BWI	domestic
airport	EWR	airport	CLT	domestic
airport	PBI	airport	CLT	domestic
airport	PVD	airport	CLT	domestic
airport	MAD	airport	OVD	domestic
airport	ROC	airport	CLT	domestic
airport	FLL	airport	DFW	domestic
airport	LAX	airport	DEN	domestic
airport	RNO	airport	DFW	domestic
airport	PHX	airport	HNL	domestic
airport	PHL	airport	JAX	domestic
airport	SEA	airport	DFW	domestic
airport	PHL	airport	MCO	domestic
airport	SEA	airport	MIA	domestic
airport	STX	airport	MIA	domestic
airport	BDL	airport	LAX	domestic
airport	SMF	airport	ORD	domestic
airport	BOS	airport	PHL	domestic
airport	CLT	airport	MCI	domestic
airport	ORF	airport	ORD	domestic
airport	CHS	airport	DFW	domestic
airport	CLT	airport	PBI	domestic
airport	CLT	airport	SYR	domestic
airport	DAY	airport	DFW	domestic
airport	DFW	airport	PHX	domestic
airport	DFW	airport	RIC	domestic
airport	DSM	airport	PHX	domestic
airport	DFW	airport	SNA	domestic
airport	IAD	airport	LAX	domestic
airport	MIA	airport	STL	domestic
airport	MKE	airport	PHX	domestic
airport	MIA	airport	SAN	domestic
airport	ORD	airport	SEA	domestic
airport	PHX	airport	PIT	domestic
airport	ORD	airport	TUL	domestic
airport	JNB	airport	DUR	domestic
airport	OKA	airport	FUK	domestic
airport	NGO	airport	CTS	domestic
airport	MEL	airport	ADL	domestic
airport	SYD	airport	DRW	domestic
airport	CBR	airport	BNE	domestic
airport	MEL	airport	DRW	domestic
airport	FUK	airport	NRT	domestic
airport	HND	airport	IZO	domestic
airport	ITM	airport	OKA	domestic
airport	MUC	airport	FRA	domestic
airport	IVL	airport	HEL	domestic
airport	MEL	airport	OOL	domestic
airport	HTI	airport	SYD	domestic
airport	BNE	airport	PER	domestic
airport	DME	airport	KUF	domestic
airport	EDI	airport	LHR	domestic
airport	MIA	airport	ATL	domestic
airport	PHL	airport	ATL	domestic
airport	DCA	airport	BOS	domestic
airport	ORD	airport	CLT	domestic
airport	DFW	airport	CLE	domestic
airport	PHX	airport	CLT	domestic
airport	TPA	airport	CLT	domestic
airport	MAD	airport	VGO	domestic
airport	ORD	airport	DFW	domestic
airport	PSP	airport	DFW	domestic
airport	MCO	airport	DFW	domestic
airport	ORD	airport	DTW	domestic
airport	TPA	airport	DFW	domestic
airport	ORD	airport	MIA	domestic
airport	ALB	airport	CLT	domestic
airport	BDL	airport	CLT	domestic
airport	PHL	airport	LAX	domestic
airport	AUS	airport	JFK	domestic
airport	PVD	airport	PHL	domestic
airport	PHL	airport	MSY	domestic
airport	BWI	airport	DFW	domestic
airport	PHX	airport	OGG	domestic
airport	CLT	airport	DFW	domestic
airport	CLT	airport	ORF	domestic
airport	DCA	airport	LGA	domestic
airport	CLT	airport	PVD	domestic
airport	DEN	airport	PHL	domestic
airport	DFW	airport	EWR	domestic
airport	DFW	airport	LAX	domestic
airport	KOA	airport	PHX	domestic
airport	HNL	airport	LAX	domestic
airport	DFW	airport	SFO	domestic
airport	MIA	airport	STX	domestic
airport	LAX	airport	LIH	domestic
airport	LAS	airport	LAX	domestic
airport	ORD	airport	PHL	domestic
airport	ORD	airport	RSW	domestic
airport	PHL	airport	SAN	domestic
airport	FUK	airport	CTS	domestic
airport	PER	airport	CBR	domestic
airport	CTS	airport	HIJ	domestic
airport	SYD	airport	CNS	domestic
airport	CTS	airport	NGO	domestic
airport	SXM	airport	PHL	domestic
airport	HND	airport	NGO	domestic
airport	CNS	airport	HTI	domestic
airport	CBR	airport	MEL	domestic
airport	DME	airport	LED	domestic
airport	HEL	airport	KTT	domestic
airport	DFW	airport	ABQ	domestic
airport	ORD	airport	BOS	domestic
airport	JAX	airport	CLT	domestic
airport	DFW	airport	DAY	domestic
airport	MIA	airport	DCA	domestic
airport	SMF	airport	CLT	domestic
airport	FAT	airport	DFW	domestic
airport	EWR	airport	DFW	domestic
airport	ICT	airport	DFW	domestic
airport	PHX	airport	JFK	domestic
airport	LAX	airport	IND	domestic
airport	TUL	airport	DFW	domestic
airport	SAT	airport	MIA	domestic
airport	OGG	airport	LAX	domestic
airport	ATL	airport	LAX	domestic
airport	BDL	airport	DFW	domestic
airport	SJC	airport	PHX	domestic
airport	CLE	airport	DFW	domestic
airport	BUF	airport	CLT	domestic
airport	SFO	airport	PHX	domestic
airport	BOS	airport	JFK	domestic
airport	CLT	airport	STX	domestic
airport	CLT	airport	SMF	domestic
airport	CLT	airport	PIT	domestic
airport	DEN	airport	DFW	domestic
airport	DFW	airport	ONT	domestic
airport	DTW	airport	ORD	domestic
airport	DFW	airport	TUS	domestic
airport	IAH	airport	PHX	domestic
airport	LAX	airport	MIA	domestic
airport	MCI	airport	PHL	domestic
airport	MIA	airport	TUL	domestic
airport	PHL	airport	TPA	domestic
airport	ORD	airport	ORF	domestic
airport	LPB	airport	VVI	domestic
airport	HND	airport	AOJ	domestic
airport	MSJ	airport	HND	domestic
airport	SYD	airport	PER	domestic
airport	CTS	airport	FUK	domestic
airport	MEL	airport	ASP	domestic
airport	HIJ	airport	HND	domestic
airport	KUF	airport	DME	domestic
airport	LHR	airport	GLA	domestic
airport	ASP	airport	MEL	domestic
airport	CNS	airport	MEL	domestic
airport	DRW	airport	MEL	domestic
airport	PHL	airport	SXM	domestic
airport	BCN	airport	MAD	domestic
airport	ORD	airport	AUS	domestic
airport	MDT	airport	CLT	domestic
